Classifier,Validation Accuracy,Test Accuracy
KNN,0.3225806451612903,0.30303030303030304
Random Forest,0.3709677419354839,0.3939393939393939
SVM,0.27419354838709675,0.30303030303030304
LDA,0.3064516129032258,0.3939393939393939
