Contrast,Dissimilarity,Homogeneity,Energy,Correlation,Label
37.876622184984534,0.9883307780665556,4.059413386293386,0.26005987143572157,0.03355017678313317,Defective
69.88956755585177,0.9626779857744019,5.769526335436527,0.1875576879809141,0.02143892141536749,Defective
22.28595727112131,0.9900958375370946,3.058432205553482,0.31967157383579264,0.031113389024091293,Defective
30.766875142072816,0.9903804147305616,3.7622108951646225,0.2721819333435361,0.02585370528394885,Defective
48.15649242735676,0.9867502654998574,4.633571467255458,0.23489146825860327,0.021190965243965302,Defective
35.9311255064683,0.9870204914164561,4.081131286191128,0.24515042372521464,0.022532321870110613,Defective
66.0929269557369,0.9880594356618847,4.380138907113069,0.2844203283748645,0.03033769797889598,Defective
18.26698355760494,0.9963004815187535,2.347668434370273,0.41204744642530233,0.04473876145029559,Defective
27.37042364438567,0.9950756995495849,2.973881891595328,0.3547162302581439,0.039312715109272124,Defective
23.401393702381053,0.994296901313532,2.9015330433256175,0.3298979803087992,0.03584408651490882,Defective
12.683126392465526,0.9979949606549153,2.3448897770337305,0.3717888846242372,0.029094535679860544,Defective
171.6871664387742,0.9759329724126894,7.218380480146017,0.2127896688425802,0.02121372849075708,Defective
9.235366933443439,0.9974896991546656,2.1928172374314685,0.37097571914464605,0.041593300484019206,Defective
14.517592867788153,0.9953379477347141,2.566298491294568,0.3396133493978404,0.043243663254628,Defective
13.891192302721151,0.9958807483590929,2.510263850020704,0.3444482894281733,0.04533903403139105,Defective
29.315871404359157,0.9918089986528386,3.297724049387732,0.30244684258102356,0.03769654084759088,Defective
16.425684742916943,0.9954999297534112,2.2850641408820036,0.4057851401075012,0.04904878662544802,Defective
7.300759830852221,0.995163210262621,1.9208567446550824,0.40850958588913167,0.0466203741378583,Raw
7.529891468514488,0.9955958485579582,2.0297981423735556,0.3916651018331252,0.0405077849758362,Raw
8.273601861118053,0.9947976804010432,2.1600262032728845,0.36882307584794677,0.03778346885650666,Raw
7.6384826131525125,0.9975785677206174,2.0725484495765767,0.3810172486334927,0.0361252681448152,Raw
9.28422484194794,0.9931920572711946,2.3000959292718597,0.3520853984231818,0.03750556747714082,Raw
9.22330924172334,0.9922891121040666,2.3311097877876255,0.3436509776166778,0.039045830332299504,Raw
7.242196387344994,0.9948885902025651,2.020191423007162,0.3894652239816307,0.04222248787125746,Ripened
7.115822740007174,0.9954830046702722,2.0176769751011703,0.3851022499475127,0.04011730665976682,Ripened
8.322094057402891,0.9942865345673103,2.1661122041733285,0.36879272314768624,0.039507417174293326,Ripened
8.235668470562127,0.9943721753046977,2.1645000231288027,0.367596218926995,0.036622205195295576,Ripened
