Contrast,Label
492.46769571484197,defective
334.1679633968144,defective
837.0441954798225,defective
1138.630250984855,defective
493.05595341608245,defective
1304.6908306821465,defective
558.7455870471458,defective
371.93976253595247,defective
848.3968470914157,defective
373.8962670996369,defective
485.58556391705025,Raw
865.7117355714744,Raw
634.8602179075124,Raw
1632.605090164291,Raw
992.3889096242624,Raw
962.1786210689455,Raw
362.857492337923,Raw
601.3895184201108,Raw
681.4287774715104,Raw
347.55977915948034,Raw
735.0591849554779,Raw
829.8327309237156,Raw
888.7560451060461,Raw
460.7736920660316,Raw
365.5666339172669,Ripened
368.37309647506873,Ripened
529.7987910264333,Ripened
1019.4021700907218,Ripened
751.4088378128881,Ripened
849.1115631082029,Ripened
505.7137392138902,Ripened
555.9320380422831,Ripened
707.3521888353088,Ripened
