Classifier,Validation Accuracy,Test Accuracy
KNN,0.25806451612903225,0.42424242424242425
Random Forest,0.3225806451612903,0.45454545454545453
SVM,0.2903225806451613,0.2727272727272727
LDA,0.3225806451612903,0.48484848484848486
