Contrast,Label
661.1440914152653,defective
1007.2377212667075,defective
663.3798914720769,defective
768.3070152808328,defective
794.8286669130152,defective
238.7053749525043,defective
767.0445684639257,defective
187.24223024126775,defective
702.1094563530736,defective
691.3907001137559,defective
720.8823654606081,defective
511.07340816036145,defective
768.3765223960294,defective
371.5701247361075,defective
475.35947472864854,defective
892.1203246745048,defective
938.43629047565,defective
1335.2371339917374,defective
549.7789492193964,defective
572.177572942178,defective
1006.724873790229,defective
628.7696814625198,Raw
987.5667735507304,Raw
374.91066121881505,Raw
423.9122974372279,Raw
1899.554837169675,Raw
1064.3368072039436,Raw
372.48706241753604,Raw
891.3234483573113,Raw
440.02572640169,Raw
405.3179763314192,Raw
501.17799711223216,Raw
561.1135042572151,Raw
465.47263384148386,Raw
364.8436824381003,Raw
831.5326782046264,Raw
283.3599768398487,Raw
281.3753977691064,Raw
1614.6273515702658,Raw
695.772058469297,Raw
467.95591204696325,Ripened
745.6181071647125,Ripened
865.8168604532952,Ripened
1421.0368783023587,Ripened
483.21846275515645,Ripened
678.2623542130167,Ripened
908.518679636905,Ripened
1097.335902714939,Ripened
313.34488526317807,Ripened
1370.2413896351848,Ripened
775.0875514967447,Ripened
345.93331849998754,Ripened
728.1487377958016,Ripened
802.7017371550797,Ripened
415.7009120995039,Ripened
992.6257965332428,Ripened
1249.2287745339452,Ripened
313.7329495044235,Ripened
655.3864814561305,Ripened
1431.4849071052884,Ripened
1433.8697184152818,Ripened
1311.3598481313293,Ripened
