Contrast,Correlation,Dissimilarity,Homogeneity,Energy,Avg_Red,Avg_Green,Avg_Blue,Label
2945.688566257686,0.7298990764132102,37.53508732755094,0.0575024756603234,0.008294392258557635,158.2407507183908,159.374685704023,156.49088541666666,defective
2945.688566257686,0.7298990764132102,37.53508732755094,0.0575024756603234,0.008294392258557635,158.2407507183908,159.374685704023,156.49088541666666,defective
2945.688566257686,0.7298990764132102,37.53508732755094,0.0575024756603234,0.008294392258557635,158.2407507183908,159.374685704023,156.49088541666666,defective
905.6365467760198,0.9017392316963204,17.37611903279757,0.2475834139464519,0.16829936169055282,125.92755477729885,125.2739538433908,121.28935434626437,defective
2942.8838321601283,0.7300005055464202,37.567704850131626,0.05623031077397834,0.00828954495315618,158.31952676005747,159.30845905172413,156.36848958333334,defective
986.0562152222452,0.8964076087016823,18.40280136845703,0.2284380790066325,0.14937137177504048,128.8581402658046,128.68033854166666,125.03686242816092,defective
2945.688566257686,0.7298990764132102,37.53508732755094,0.0575024756603234,0.008294392258557635,158.2407507183908,159.374685704023,156.49088541666666,defective
823.5188154017827,0.8802878509408689,15.938458982835877,0.36315674720038044,0.30342705932120456,109.16249102011494,105.71652747844827,99.78827676005747,defective
1551.3346183795547,0.8576447923525596,25.540651747936362,0.07371286945871584,0.008966945135332334,140.06049311926606,142.5874068233945,138.03123208142202,defective
1552.2786309711653,0.8575579046562621,25.544925984605314,0.07350129347247203,0.008932760307936929,140.0431479357798,142.59419796444953,138.02293577981652,defective
1576.7930932038619,0.8554174610548907,25.805118563447213,0.07354257127602556,0.009042718636551863,140.03227135894497,142.5733586582569,138.08140409977065,defective
739.9634903643781,0.9230728236869488,15.427653904912498,0.23332395050032537,0.13830017298705935,113.83475487385321,114.32570599197248,108.92398939220183,defective
1163.1703332576055,0.8822904595976473,19.57356039105643,0.20162118147288113,0.1258090997855973,119.37761611238533,119.06789349197248,113.0206959575688,defective
1576.7930932038619,0.8554174610548907,25.805118563447213,0.07354257127602556,0.009042718636551863,140.03227135894497,142.5733586582569,138.08140409977065,defective
1576.7930932038619,0.8554174610548907,25.805118563447213,0.07354257127602556,0.009042718636551863,140.03227135894497,142.5733586582569,138.08140409977065,defective
1576.7930932038619,0.8554174610548907,25.805118563447213,0.07354257127602556,0.009042718636551863,140.03227135894497,142.5733586582569,138.08140409977065,defective
1118.3171621655829,0.8960670197934162,19.951977476685315,0.11936695406619267,0.02577058566588528,131.37449827981652,133.84269280389907,129.50740037270643,defective
723.1569586358033,0.9297146611839158,15.436405215010597,0.19660953129618375,0.09126308303538559,123.34124377765487,119.28842298119469,107.28463772123894,defective
732.0798966947633,0.9291656892800351,15.59387029731657,0.19164201986355142,0.07852092718607505,124.25081236172566,120.91910951327434,109.56851493362832,defective
1108.6645803518443,0.8985274387504812,20.579986228957626,0.09902809928112526,0.009664747590800245,139.80397884402655,136.2935909845133,124.66314643252213,defective
1119.745046408738,0.8975295536551219,20.631346432145026,0.09923959987417837,0.009735900276654998,139.83239422013276,136.27416344026548,124.64307936946902,defective
1108.6645803518443,0.8985274387504812,20.579986228957626,0.09902809928112526,0.009664747590800245,139.80397884402655,136.2935909845133,124.66314643252213,defective
1108.6645803518443,0.8985274387504812,20.579986228957626,0.09902809928112526,0.009664747590800245,139.80397884402655,136.2935909845133,124.66314643252213,defective
1108.6645803518443,0.8985274387504812,20.579986228957626,0.09902809928112526,0.009664747590800245,139.80397884402655,136.2935909845133,124.66314643252213,defective
1336.8108820676725,0.8769280894017109,23.12937385375584,0.08724970073389597,0.009665315742177492,128.61011240433675,137.60154257015307,136.19467474489795,defective
635.1844736854708,0.9354420202334524,13.71875211136986,0.23238950352774368,0.12151061894027937,105.26795679209184,114.77387595663265,113.9022441007653,defective
683.3883633739514,0.921054201064032,14.093347881859394,0.2893845276385993,0.18853425679783523,97.4224928252551,104.51303411989795,102.07220583545919,defective
746.506316636986,0.9262052038954436,15.146008020558346,0.20697763452423612,0.09757874014441319,111.5556640625,120.76857461734694,119.4229512117347,defective
1336.1119630202895,0.8769698614625812,23.16577043692435,0.08775500703292936,0.009806009344927265,128.52010921556123,137.6223692602041,136.07830436862244,defective
1333.5743198103007,0.87716465408044,23.14750711441282,0.08770194943238364,0.009673056406616172,128.54514110331633,137.6154934630102,136.06110491071428,defective
1333.5743198103007,0.87716465408044,23.14750711441282,0.08770194943238364,0.009673056406616172,128.54514110331633,137.6154934630102,136.06110491071428,defective
1333.5743198103007,0.87716465408044,23.14750711441282,0.08770194943238364,0.009673056406616172,128.54514110331633,137.6154934630102,136.06110491071428,defective
397.88646306000345,0.963445320408889,10.585969443682314,0.2343444998285216,0.02370113209633885,135.78901543674698,143.81731613955824,160.99366214859438,defective
396.62061544827765,0.9640618705392482,11.530804797221991,0.2112379247202908,0.022203925874351688,139.50491026606426,147.80613077309238,165.24656438253012,defective
398.89699211696694,0.9638943269712671,11.508765251327128,0.21211313410273605,0.02245212207363068,139.47130710341366,147.81701807228916,165.2378263052209,defective
336.78082430335917,0.9694333942595267,10.433893887101126,0.22857326883196075,0.02323946861111979,139.4250596134538,147.7828187751004,165.16073669678715,defective
398.38620858630503,0.9639443563261184,11.498110863897315,0.2115699729748465,0.02211566407960903,139.46666352911646,147.82348142570282,165.22604480421685,defective
398.38620858630503,0.9639443563261184,11.498110863897315,0.2115699729748465,0.02211566407960903,139.46666352911646,147.82348142570282,165.22604480421685,defective
398.38620858630503,0.9639443563261184,11.498110863897315,0.2115699729748465,0.02211566407960903,139.46666352911646,147.82348142570282,165.22604480421685,defective
